ID,Name,Country,Events_2025,Total_Heats,Tours
15886,Haizea Duo Mugabure,Basque Country,2,2,WJUN
6075,Hanniel MacEdo,Spain,0,0,
13634,Hanniel ê Bertoni,Canary Islands,0,0,
13924,Hans Odriozola,Spain,7,19,"MQS, MJUN, MCS"
13951,Hans Tiessen,Spain,1,0,MQS
671,Haritz Mendiluze,Basque Country,0,0,
2220,Hector Artiles,Canary Islands,0,0,
1865,Hector Baldeon,Canary Islands,0,0,
15252,Herminio Asier Sánchez Antón,Spain,0,0,
615,Hodei Collazo,Basque Country,2,3,MQS
19125,Hugo Dorta,Canary Islands,1,1,MJUN
20172,Hugo Méndez,Spain,0,0,
18376,Hugo Spinola,Spain,0,0,
10488,Iago Formosel,Spain,1,1,MLT
12625,Iara Dominguez,Spain,2,7,WJUN
13969,Iara Elguezabal,Spain,0,0,
7185,Ibon Amatrian,Basque Country,1,0,MBWT
12337,Ibon Etxegoien,Basque Country,4,6,"MQS, MJUN"
11455,Ibon Garcia,Basque Country,0,0,
10531,Ibon Yarritu,Spain,1,1,MJUN
7401,Ibon Yarritu Zarraga,Spain,1,0,MJUN
15869,Ibone Gomez,Spain,3,4,"WJUN, WQS"
5050,Idoia Meabe,Basque Country,0,0,
8360,Ignacio Accorenti Nin,Spain,0,0,
4273,Ignacio Guisasola,Spain,4,10,"MQS, MJUN"
9135,Ignacio Touzon,Spain,1,1,MJUN
1311,Igor Muniain,Spain,1,4,MQS
8878,Iker Amatriain,Spain,5,13,"MQS, MJUN"
1950,Iker Fuentes,Basque Country,0,0,
12618,Iker Trigueros,Basque Country,5,11,"MQS, MJUN"
6115,Illan Urkia Aldekoa,Basque Country,0,0,
13639,Imanol Iereji,Basque Country,0,0,
2508,Imanol Yeregi,Basque Country,4,8,"MQS, MJUN"
4657,Inaxio Illarramendi,Basque Country,2,3,MJUN
1639,Indar Unanue,Basque Country,2,2,"MQS, MBWT"
9174,Indira Hernandez Hernandez,Spain,3,3,WJUN
17118,Irina Ivanova,Canary Islands,0,0,
20389,Isabel Garcia Eguia,Spain,0,0,
4561,Isabel Gundin,Spain,5,7,"MQS, WJUN"
7523,Isabel Ledo,Spain,1,0,WQS
17100,Ivan Flor,Spain,3,4,MJUN
14435,Iván González,Spain,0,0,
2878,Ivan Gonzalez,Spain,2,2,"MQS, MJUN"
5387,Ivan Gonzalez Domingez,Canary Islands,0,0,
2210,Ivan Monagas Torres,Spain,1,2,MQS
13640,Ivan Monagas Torres,Canary Islands,0,0,
15932,Ivan Rodriguez Portas,Spain,1,1,MJUN
6125,IvÃ¡n Laya Beci,Spain,0,0,
13926,Jacobo Trigo,Spain,6,16,"MQS, MJUN"
6144,Jaime Amador,Spain,0,0,
7140,Jaime Fernandez,Basque Country,1,0,MBWT
18371,Jaime Fernández Díaz,Spain,1,1,MQS
4468,Jaime Pombo,Canary Islands,2,4,MJUN
3775,Jamie Amador,Spain,0,0,
10487,Janire Gonzalez Etxabarri,Basque Country,9,22,"WJUN, WCS, WQS"
641,Jatyr Berasaluce,Basque Country,3,7,MQS
6176,Javi Reboreda,Spain,0,0,
20600,Javier Aragón Flores,Spain,0,0,
2212,Javier Ascanio,Canary Islands,1,1,MQS
7024,Javier De Las Cuevas,Spain,0,0,
1856,Javier Medina,Canary Islands,0,0,
2216,Javier Medina Villanueva,Canary Islands,1,2,MQS
4709,Javier Rodrguez-Triana De Las Cuevas,Spain,1,1,MJUN
1915,Javier Rosino Sierra,Spain,0,0,
5400,Javier Sanchez,Canary Islands,0,0,
6179,Javier Sanchez Garcia,Canary Islands,0,0,
8382,Javier Santander Reboreda,Spain,0,0,
5404,Jesus Delvalle,Spain,0,0,
8396,Jesusartimez Valle,Spain,0,0,
10387,Jodie De Armas Tracy,Spain,3,6,WJUN
19203,Joel Rodríguez,Spain,0,0,
14996,Joel Rodriguez Sosa,Spain,1,2,MLT
20435,Joel Sosa,Canary Islands,0,0,
8719,John Garai,Basque Country,0,0,
8720,John Garay,Basque Country,0,0,
9520,Jolan Lequertier,Canary Islands,1,1,MJUN
7145,Jon Garay,Basque Country,1,1,MBWT
17307,Jon Garmendia Gonzalez,Basque Country,2,4,MLT
6246,Jon Mentxaka,Spain,0,0,
13935,Jon Unzueta Alaba,Basque Country,1,1,MJUN
3190,Jon Irigoyen Egia,Spain,1,1,MLT
612,Jonathan Gonzalez,Canary Islands,0,0,
13661,Jonathan Torres,Canary Islands,0,0,
2226,Jonathan Torres Martin,Canary Islands,0,0,
5415,Joni Tavio Garcia,Canary Islands,0,0,
16072,Jorge Guerreiro Alonso,Spain,1,2,MJUN
14463,Jorge Marqués,Spain,1,1,MQS
13967,Jorge Marqués Gonzàlez,Canary Islands,0,0,
14607,Jorge Sillero,Spain,2,4,MJUN
9405,Jose Cabrera,Spain,1,1,MQS
4228,Jose De Armas,Canary Islands,0,0,
7216,Jose Dominguez Fernandez,Spain,1,0,MQS
8416,Jose Dominguez Muradas,Spain,0,0,
6268,Jose Morales,Spain,0,0,
8417,Jose Pampin,Spain,0,0,
9513,Jose Domingo Requena,Canary Islands,1,3,MJUN
15987,Jose Luis Diaz Leira,Spain,1,1,MQS
3185,Jose Luiz Berasaluce,Basque Country,2,3,MLT
16120,Jose Maria Cabrera,Spain,0,0,
10127,José Maria De Paz,Spain,1,1,MQS
16117,Jose Maria Hernandez,Spain,0,0,
1870,Jose Roman Grau,Canary Islands,1,0,MQS
8527,Joseph Mendoza,Canary Islands,0,0,
3578,Josu Alcantara,Spain,0,0,
20177,Josuco LiaÑo,Spain,0,0,
6293,Juan Brage,Spain,0,0,
2683,Juan Diaz-Teran,Spain,4,4,MJUN
3771,Juan Fernandez,Spain,6,12,"MQS, MJUN"
2862,Juan FernÃ¡ndez,Spain,0,0,
11352,Juan Gorostidi,Spain,3,11,MJUN
1352,Juan Martinez,Spain,0,0,
13667,Juan Merodio,Spain,0,0,
6300,Juan Merodio Velasco,Spain,0,0,
8427,Juan Mora,Spain,0,0,
19251,Juan Ochoa,Spain,1,1,MLT
15551,Juan Pérez,Canary Islands,0,0,
14678,Juan Pérez Pérez,Canary Islands,0,0,
6305,Juan Trujillo Hernandez,Spain,0,0,
13668,Juan Trujillo Hernandez,Canary Islands,0,0,
10337,Juan Villasante,Spain,1,1,MLT
1880,Juan Carlos Castellano,Canary Islands,0,0,
5663,Juan Carlos Garcia,Canary Islands,0,0,
13669,Juan Carlos Garcia,Canary Islands,0,0,
13142,Juan Damaso Garcia Oramos,Spain,0,0,
14939,Juan David Acevedo Verde,Spain,5,9,"MQS, MJUN"
